index,Zone_Name,Postal_Code,Address,Postalcode,Latitude,Longitude,Covered_Parking,Electric_charger,Rating,Reservation_Count,Reserved_hours,Spot_Count,Hourly_Rate,Daily_Rate,Evening_Rate,24-Jul,Commuter,Eveninng_and_Weekends,Distance_from_center,Scaling,Bus_Nearby
32,590 University Crescent - Uncovered,138,"Converge Community Church, University Crescent, Winnipeg, MB, Canada, Winnipeg",R3T2N8,49.802747,-97.135216,0,0,4.5,0,0,1,1,5,9,1,1,1,10.26924734,5,0
33,297 Furby Street - Uncovered,80,"297 Furby Street, Winnipeg, MB, Canada, Winnipeg",R3C2A8,49.887295,-97.157364,0,1,0,0,0,4,1,1,1,70,50,35,1.607612661,1,0
34,590 University Crescent - Uncovered,138,"Converge Community Church, University Crescent, Winnipeg, MB, Canada, Winnipeg",R3T2N8,49.802747,-97.135216,0,0,4.5,0,0,1,6.5,5,9,1,1,1,10.26924734,0.769230769,0
35,800 Corydon - Uncovered,124,800 Corydon,R3M0W6,49.870449,-97.155593,0,0,1.603575758,0,0,0,1,5,2,0,0,0,3.001319151,5,0
36,277 River Avenue - Uncovered,101,277 River Avenue,R3L0B5,49.882456,-97.13939,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.405002497,5,1
37,275 Stradbrook Avenue | Uncovered - Pre-booking,103,"275 Stradbrook Avenue, Winnipeg, MB, Canada, Winnipeg",R3L0J5,49.880209,-97.138301,0,0,3.38,0,0,1,1,5,2,80,60,50,1.653281095,5,0
38,491 Stradbrook Avenue - Uncovered,106,"491 Stradbrook Avenue, Winnipeg, MB, Canada, Winnipeg",R3L0K2,49.877542,-97.145973,0,1,5,0,0,19,1,5,2,99,75,25,2.022905955,5,0
39,201 Thomas Berry St. - Uncovered,2,"201 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H 0P9,49.883528,-97.119489,0,1,2.25,0,0,2,3,12,7,150,100,50,1.869345888,4,0
40,50 Hargrave - Uncovered,65,50 Hargrave,R3C1N1,49.886436,-97.140811,0,0,1.603575758,0,0,0,1,5,2,0,0,0,0.975595714,5,1
41,691 Sherbrook Street - Uncovered,55,691 Sherbrook Street,R3B2X2,49.899914,-97.157907,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.493764828,5,0
42,133 Matheson Ave East - Uncovered,32,133 Matheson Ave East,R2W5M7,49.92918,-97.117972,0,0,1.603575758,0,0,0,1,5,2,0,0,0,4.065736914,5,0
43,282 Furby Street - Uncovered,81,"282 Furby Street, Winnipeg, MB, Canada, Winnipeg",R3C2A9,49.88721,-97.158092,0,0,3.25,1,242,2,1,5,2,80,60,45,1.656775022,5,0
44,438 Aulneau Street - Uncovered,13,438 Aulneau Street,R2H2V2,49.886819,-97.117965,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.73115024,5,0
45,303 Stradbrook Avenue - Uncovered,103,303 Stradbrook Avenue,R3L0J5,49.880407,-97.139406,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.632663741,5,0
46,275 Nassau Street - Uncovered,118,275 Nassau Street,R3L2J4,49.872805,-97.145026,0,0,1.603575758,0,0,0,1,5,2,50,35,35,2.520939084,5,0
47,30 University Crescent- Scramble Parking,144,30 University Crescent,R3T6G9,49.818958,-97.150558,0,0,1.603575758,0,0,0,1,2,9,0,0,0,8.508428858,2,0
48,1695 Pembina Hwy. - Uncovered,132,"1695 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T2G6,49.826811,-97.154911,0,0,0,0,0,6,1,5,2,0,0,0,7.681981745,5,0
49,291 Stradbrook Avenue - Uncovered,103,291 Stradbrook Avenue,R3L0J5,49.880725,-97.138773,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.596036307,5,0
50,555 Broadway - Uncovered,60,"555 Broadway, Winnipeg, MB, Canada, Winnipeg",R3C0W4,49.88573,-97.152443,0,1,2.5,19,910,5,1,5,2,125,100,75,1.443930582,5,1
51,118 Sherbrook St. - Uncovered,82,118 Sherbrook St.,R3C2B4,49.882964,-97.159853,0,0,1.603575758,0,0,0,3,1,1,1,1,1,2.040819854,0.333333333,0
52,366 Young St. - Assigned Stalls,53,"366 Young Street, Winnipeg, MB, Canada, Winnipeg",R3B2S4,49.891382,-97.155393,0,0,2.78,95,1294,10,1.5,7.5,6,138,110,80,1.28127438,5,0
53,280 Garry Street - Pre-book,64,"280 Garry St, Winnipeg, MB, Canada, Winnipeg",R3C1H3,49.893412,-97.140858,0,0,4.5,21,330,3,4,12,12,200,170,120,0.252991208,3,1
54,785 Keewatin Street - Uncovered,33,"785 Keewatin Street, Winnipeg, MB, Canada, Winnipeg",R2X3B9,49.936508,-97.193277,0,0,0,0,0,2,1,5,2,25,20,15,6.052560212,5,0
55,767 Beverley Street - Uncovered,86,"767 Beverley Street, Winnipeg, MB, Canada, Winnipeg",R3E2A7,49.901861,-97.164427,0,0,0,0,0,2,1,5,2,80,65,40,2.007652215,5,0
56,548 Main St. - Uncovered,48,"548 Main St, Winnipeg, MB, Canada, Winnipeg",R3B1C4,49.900549,-97.137952,0,0,0,1,2,14,3,12,12,0,0,0,0.609507489,4,0
57,401 Stradbrook Ave - Uncovered,105,401 Stradbrook Ave,R3L0J7,49.879328,-97.143012,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.781433406,5,0
58,37 Edmonton Street - Uncovered,71,"37 Edmonton St, Winnipeg, MB, Canada, Winnipeg",R3C1P8,49.884784,-97.142685,0,0,0,0,0,5,1,1,5,0,0,0,1.184038956,1,1
59,203 Thomas Berry St. - Uncovered,7,"203 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H0P9,49.883571,-97.119354,0,0,0,0,0,3,3,12,7,150,100,50,1.873116051,4,0
60,56 Kate Street - Uncovered,42,"56 Kate Street, Winnipeg, MB, Canada, Winnipeg",R3A1J8,49.900737,-97.153992,0,0,0,0,0,1,1,5,2,80,65,40,1.278746039,5,0
61,2295 Pembina Hwy - Uncovered,133,"Markham Place, 2295 Pembina Hwy, Winnipeg, MB, Canada, Winnipeg",R3T2H4,49.807998,-97.156284,0,0,5,1,20,36,2,5,5,75,60,25,9.766789459,2.5,0
62,1919 Bishop Grandin - Uncovered,25,1919 Bishop Grandin,R2M3G1,49.840272,-97.094258,0,0,1.603575758,0,0,0,1,5,2,25,20,15,6.868006482,5,0
63,172 Edmonton St. - Uncovered Evenings/Weekends,72,"172 Edmonton Street, Winnipeg, MB, Canada, Winnipeg",R3C1R3,49.888872,-97.145848,0,0,0.5,3,8,1,3,14,12,230,200,170,0.869959599,4.666666667,1
64,532 Ellice Avenue - Uncovered,51,"532 Ellice Ave, Winnipeg, MB R3B 1Z2, Canada, Winnipeg",R3B1Z2,49.892479,-97.155812,0,0,0,1,6,4,1.5,7.5,6,138,110,80,1.276724432,5,0
65, 105 Galt Ave. - Uncovered,44,"105 Galt Avenue, Winnipeg, MB, Canada, Winnipeg",R3B 0L1,49.90078,-97.131724,0,0,5,1,3,4,1,1,2,0,0,0,0.796429581,1,0
66,430 Stradbrook Avenue - Uncovered,119,430 Stradbrook Avenue,R3L2P8,49.878485,-97.143619,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.881731119,5,0
67,275 Stradbrook Avenue | Uncovered - Guest Checkout,103,"275 Stradbrook Avenue, Winnipeg, MB, Canada, Winnipeg",R3L0J5,49.880209,-97.138301,0,0,3.38,1,713,8,1,5,2,80,60,50,1.653281095,5,0
68,1681 Pembina Hwy - Uncovered,132,"1681 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T2G6,49.8282,-97.152688,0,1,0,5,27,7,1,5,2,0,0,0,7.506079947,5,0
69,164 Dollard Blvd. - Uncovered,6,"164 Dollard Boulevard, Winnipeg, MB, Canada, Winnipeg",R2H0M2,49.884876,-97.121686,0,0,1,0,0,1,1,5,2,125,99,25,1.651989462,5,0
70,366 Young St. - Scramble Parking ,53,"366 Young Street, Winnipeg, MB, Canada, Winnipeg",R3B2S4,49.891382,-97.155393,0,0,2.78,152,1413,10,1.5,7.5,6,138,110,80,1.28127438,5,0
71,85 Hargrave - Uncovered,66,"85 Hargrave Street, Winnipeg, MB, Canada, Winnipeg",R3C1N3,49.886788,-97.140847,0,1,0,0,0,9,1,5,2,175,150,35,0.937540428,5,1
72,39 Westbrook St. - Uncovered,58,"39 Westbrook St, Winnipeg, MB, Canada, Winnipeg",R3C0A1,49.894367,-97.135347,0,0,0,1,5,23,2,6,6,0,0,0,0.23594332,3,1
73,Blue Zone - PRE-BOOK,12,"400 Tache Avenue, Winnipeg, MB, Canada, Winnipeg",R2H2A6,49.884712,-97.123313,0,1,2.89,1115,4471,20,1,17.5,3,1,1,50,1.582527085,17.5,0
74,563 William Ave - Uncovered,37,"563 William Avenue, Winnipeg, MB, Canada, Winnipeg",R3A0K1,49.903217,-97.151942,0,0,0,0,0,1,2,5,3,70,65,50,1.323995628,2.5,0
75,516 Hargrave - Uncovered,41,"516 Hargrave Street, Winnipeg, MB, Canada, Winnipeg",R3A0X8,49.8997,-97.144081,0,0,0.5,1,4,4,1,1,4,0,0,0,0.653353664,1,0
76,516 Hargrave - Uncovered,41,"516 Hargrave Street, Winnipeg, MB, Canada, Winnipeg",R3A0X8,49.8997,-97.144081,0,0,0.5,0,0,1,1,1,4,0,0,0,0.653353664,1,0
77,840 Waverley Street - Uncovered,143,"840 Waverley Street, Winnipeg, MB, Canada, Winnipeg",R3T5Z7,49.848843,-97.177708,0,0,0,0,0,2,1,5,2,25,20,15,5.860432474,5,0
78,246 Lilac Street - Uncovered,128,"246 Lilac Street, Winnipeg, MB, Canada, Winnipeg",R3M2S2,49.869665,-97.1575,0,0,0,2,4,10,1,1,10,0,0,0,3.138043116,1,0
79,246 Lilac Street - Uncovered,128,"246 Lilac Street, Winnipeg, MB, Canada, Winnipeg",R3M2S2,49.869665,-97.1575,0,0,0,0,0,10,1,1,10,0,0,0,3.138043116,1,0
80,324 Logan Ave - Surface Parking ,38,324 Logan Ave,R3A0L5,49.904397,-97.140251,0,0,1.603575758,0,0,0,1.5,6,3,0,0,0,1.044325059,4,0
81,230 Osborne Street - Uncovered,116,"230 Osborne Street, Winnipeg, MB, Canada, Winnipeg",R3L1Y8,49.875727,-97.140557,0,0,0,4,62,2,1,5,2,99,75,25,2.156905784,5,0
82,1139 Grant Ave. - Uncovered,126,1139 Grant Ave.,R3M1Y8,49.859989,-97.166388,0,0,1.603575758,0,0,0,1,5,2,45,1,1,4.385205725,5,0
83,114 Juno St. - Uncovered,34,"114 Juno Street, Winnipeg, MB, Canada, Winnipeg",R3A,49.90203,-97.151408,0,0,0,1,3,9,1,5,2,1,1,1,1.207899369,5,0
84,1910 Pembina Highway - Guest Checkout,130,"1910 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T,49.822361,-97.150249,0,0,4.17,0,0,1,1,5,2,30,25,20,8.12976054,5,0
85,Blue Zone - PRE-BOOK,12,"400 Tache Avenue, Winnipeg, MB, Canada, Winnipeg",R2H2A6,49.884712,-97.123313,0,1,2.89,1115,4471,20,2,17.5,3,1,1,50,1.582527085,8.75,0
86,363 William Ave - Hourly/Daily,35,"363 William Avenue, Winnipeg, MB, Canada, Winnipeg",R3A0H8,49.900749,-97.144279,0,0,0,0,0,70,4,14,4,0,0,0,0.75632957,3.5,0
87,456 Langevin Street - Uncovered,14,456 Langevin Street,R2H2V8,49.887272,-97.116831,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.775365987,5,0
88,311 Stradbrook Avenue - Uncovered,103,311 Stradbrook Avenue,R3L0J5,49.880396,-97.139608,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.634555749,5,0
89,2300 Portage Avenue - Uncovered,96,2300 Portage Avenue,R3J0M4,49.876156,-97.246736,0,0,1.603575758,0,0,0,1,5,2,20,15,10,8.03826024,5,0
90,244 Hindley Ave. - Uncovered Driveway,24,244 Hindley Ave.,R2M1R2,49.846091,-97.09166,0,0,1.603575758,0,0,0,1,5,2,60,45,30,6.396469499,5,0
91,458 Balmoral St. - Uncovered,56,"458 Balmoral Street, Winnipeg, MB, Canada, Winnipeg",R3B3K5,49.893902,-97.152794,0,0,3.5,71,394,15,1,5,2,140,110,80,1.035684237,5,0
92,1910 Pembina Highway - Uncovered,130,"1910 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T,49.822361,-97.150249,0,0,4.17,1,713,3,1,5,2,30,25,20,8.12976054,5,0
93,590 University Crescent - Game Day,138,"Converge Community Church, University Crescent, Winnipeg, MB, Canada, Winnipeg",R3T2N8,49.802747,-97.135216,0,0,4.5,35,781,27,6.5,5,9,1,65,1,10.26924734,0.769230769,0
94,340 Assiniboine Ave. - Uncovered,63,"340 Assiniboine Avenue, Winnipeg, MB, Canada, Winnipeg",R3C0Y1,49.884784,-97.139114,0,0,0,8,86,10,2,10,6,170,140,100,1.145514463,5,1
95,183 Maryland Street - Uncovered,92,183 Maryland Street,R3G1L4,49.885183,-97.16055,0,0,1.603575758,0,0,0,1,5,2,50,35,35,1.927860895,5,0
96,570 St. Mary's Road - Uncovered,27,570 St. Mary's Road,R2M3L5,49.865676,-97.111307,0,0,1.603575758,0,0,0,1,5,2,0,0,0,3.804038263,5,0
97,33 Killarney Avenue - Uncovered,140,33 Killarney Avenue,R3T3B1,49.790554,-97.15549,0,0,1.603575758,0,0,0,1,5,2,0,0,0,11.68647488,5,0
98,199 Langside Street - Uncovered,78,"199 Langside Street, Winnipeg, MB, Canada, Winnipeg",R3C1Z6,49.884707,-97.156305,0,1,0,6,43,1,1,5,3,1,1,1,1.722073535,5,0
99,Visitor Parking - More than 2 hours ,100,"1661 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3J3T7,49.880489,-97.203401,0,0,0,0,0,35,1,6,0,1,1,50,4.927745464,6,0
100,875 Notre Dame Avenue - Standard Uncovered,83,"875 Notre Dame Avenue, Winnipeg, MB, Canada, Winnipeg",R3E0M4,49.904048,-97.166786,0,0,0.5,0,0,4,1,5,2,0,0,0,2.261368977,5,0
101,297 Enfield Crescent - Uncovered,10,297 Enfield Crescent,R2H1C1,49.882235,-97.112388,0,0,1.603575758,0,0,0,3,5,2,50,35,35,2.350607941,1.666666667,0
102,80 Balmoral Street - Uncovered,76,"80 Balmoral St, Winnipeg, MB, Canada, Winnipeg",R3C1X4,49.884088,-97.153299,0,1,4,0,0,3,1,6,3,115,95,25,1.620040687,6,0
103,765 Ellice Avenue - Uncovered,88,765 Ellice Avenue,R3G0B7,49.893819,-97.166582,0,0,1.603575758,0,0,0,1,5,2,0,0,0,2.019915733,5,0
104,40 Hargrave Street - Uncovered,65,"40 Hargrave Street, Winnipeg, MB, Canada, Winnipeg",R3C1N1,49.885399,-97.140869,0,1,5,0,0,12,1,5,2,120,90,60,1.089996421,5,1
105,20 Lyndale Drive - Uncovered | Hourly,16,"20 Lyndale Drive, Winnipeg, MB, Canada, Winnipeg",R2H3H2,49.880883,-97.130631,0,0,2.5,1,2,9,1,5,2,0,0,0,1.674782084,5,0
106,Evenings and Weekends - Guest Checkout,43,"339 Cumberland Ave, Winnipeg, MB, Canada, Winnipeg",R3B,49.89631,-97.146341,0,1,5,3,7,50,2,1,5,0,0,0,0.581550534,0.5,0
107,250 Thomas Berry Street - Uncovered,8,"250 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H0R3,49.883313,-97.116805,0,1,0,0,0,4,1,5,2,99,75,25,2.028744201,5,0
108,126 Bryce St. - Uncovered,114,"126 Bryce Street, Winnipeg, MB, Canada, Winnipeg",R3L1X4,49.879304,-97.142148,0,0,0,0,0,8,1,7,4,126,90,70,1.773763852,7,0
109,391 Gertrude - Uncovered,109,391 Gertrude,R3L0M5,49.877735,-97.141563,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.941188595,5,0
110,80 Lombard Avenue - Motorcycle Parking,47,"80 Lombard Avenue, Winnipeg, MB, Canada, Winnipeg",R3B0Y3,49.89513,-97.1337,0,0,0,0,0,2,2,10,8,1,1,1,0.340367759,5,0
111, 41(B) Balmoral Street - Uncovered,75,"41 Balmoral Street, Winnipeg, MB, Canada, Winnipeg",R3C1X3,49.882739,-97.152681,1,1,1,0,0,9,1,5,2,115,95,25,1.709215463,5,0
112,648 Sherbrook - Uncovered,55,"649 Sherbrook Street, Winnipeg, MB, Canada, Winnipeg",R3B2X2,49.898039,-97.15806,0,0,0,0,0,3,1,5,2,80,65,40,1.442660537,5,0
113,520 William Avenue - Uncovered,36,"520 William Avenue, Winnipeg, MB, Canada, Winnipeg",R3A0J8,49.902257,-97.150555,0,0,3,10,290,2,1,5,2,1,65,1,1.1785652,5,0
114,Blue Zone - PRE-BOOK,12,"400 Tache Avenue, Winnipeg, MB, Canada, Winnipeg",R2H2A6,49.884712,-97.123313,0,1,2.89,1115,4471,20,4,17.5,3,1,1,50,1.582527085,4.375,0
115,828 Silverstone Avenue - Uncovered,139,"828 Silverstone Avenue, Winnipeg, MB, Canada, Winnipeg",R3T2W6,49.796298,-97.145925,0,0,0,2,93,12,1,5,2,1,45,1,10.99678997,5,0
116,94 Roslyn Road - Monthly Parking,102,"94 Roslyn Road, Winnipeg, MB, Canada, Winnipeg",R3L0G6,49.880122,-97.145895,0,0,2.8,8,1402,5,1,5,2,99,75,25,1.746342749,5,0
117,324 Young Street - Uncovered ,53,"324 Young Street, Winnipeg, MB, Canada, Winnipeg",R3B2S4,49.889998,-97.155289,0,0,0,7,33,5,1,5,5,0,0,0,1.331848818,5,0
118,499 Osborne Street - Uncovered,117,499 Osborne Street,R3L2A8,49.867392,-97.136341,0,0,1.603575758,0,0,0,3,1,1,1,1,1,3.08214168,0.333333333,0
119,395 Wardlaw Avenue - Uncovered,108,395 Wardlaw Avenue ,R3L0L8,49.878488,-97.142432,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.866531742,5,0
120,668 Corydon Ave. - Uncovered,125,"668 Corydon Avenue, Winnipeg, MB, Canada, Winnipeg",R3M0X7,49.871553,-97.150222,0,0,0.5,1,5,2,1,5,10,70,50,35,2.748347989,5,0
121,363 William Ave - Monthly Reserved,35,"363 William Avenue, Winnipeg, MB, Canada, Winnipeg",R3A0H8,49.900749,-97.144279,0,1,0,0,0,95,4,14,4,260,195,100,0.75632957,3.5,0
122,66 Carlton Street - Uncovered,68,66 Carlton Street,R3C1N9,49.88632,-97.14281,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.022579064,5,1
123,284 Notre Dame Street - Uncovered,3,284 Notre Dame Street,R2H0C6,49.895727,-97.118045,0,0,1.603575758,0,0,0,3,1,1,1,1,1,1.463469785,0.333333333,0
124,825 Corydon - Uncovered,124,825 Corydon,R3M0W6,49.870681,-97.156606,0,0,1.603575758,0,0,0,1,5,2,0,0,0,3.008460904,5,0
125,475 Berry Street - Uncovered,99,"475 Berry Street, Winnipeg, MB, Canada, Winnipeg",R3J1N8,49.889621,-97.210072,0,1,0,0,0,28,1,5,2,1,1,25,5.166289106,5,0
126,36 Carlton Street - Uncovered,68,36 Carlton Street,R3C1N9,49.885715,-97.142187,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.074860634,5,1
127,441 Carlton St. - Uncovered,50,441 Carlton St.,R3B1R1,49.897983,-97.147693,0,0,1.603575758,0,0,0,2,5,5,100,75,50,0.736644614,2.5,0
128,207 Carlton St. - Event Prebooking,69,"207 Carlton Street, Winnipeg, MB, Canada, Winnipeg",R3C1P5,49.890452,-97.144332,0,0,0,0,0,18,7.5,18,17,0,0,0,0.664798404,2.4,1
129,1241 Grant Ave - Uncovered,127,1241 Grant Ave ,R3M1Z4,49.858325,-97.171659,0,0,1.603575758,0,0,0,1,5,2,0,0,0,4.72896989,5,0
130,294 Stradbrook Avenue - Uncovered,104,294 Stradbrook Avenue ,R3L0J6,49.880205,-97.138589,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.653720502,5,0
131,308 Colony Street - Uncovered,74,"308 Colony Street, Winnipeg, MB, Canada, Winnipeg",R3C1W6,49.889481,-97.15118,0,0,2.25,2,18,1,3,8,10,110,90,50,1.103920627,2.666666667,1
132,853 Bannatyne Avenue - Standard Uncovered,84,"853 Bannatyne Avenue, Winnipeg, MB, Canada, Winnipeg",R3E0W6,49.905968,-97.164212,0,0,5,56,407,4,1,5,2,0,0,0,2.207000761,5,0
133,160 Furby St. - Uncovered,79,160 Furby St.,R3C2A5,49.884072,-97.158394,0,0,1.603575758,0,0,0,3,1,1,1,1,1,1.881117225,0.333333333,0
134,53 Carlton Street - Uncovered,67,53 Carlton Street,R3C1N7,49.886224,-97.141911,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.015134131,5,1
135,584 McMillan Avenue - Uncovered,111,584 McMillan Avenue,R3L0N6,49.874135,-97.14743,0,0,1.603575758,0,0,0,1,5,2,75,50,35,2.415870877,5,0
136,680 Sherbrook Street - Uncovered,54,680 Sherbrook Street,R3B2X1,49.89961,-97.158795,0,0,1.603575758,0,0,0,1,5,4,70,55,40,1.541897804,5,0
